"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"Jan 17713",47022.8490974247,26033.8055499448,68011.8926449046,14922.8770564856,79122.8211383638
"Feb 17713",47040.7999960862,26043.8561178967,68037.7438742758,14928.7454419864,79152.8545501861
"Mar 17713",47035.3875914876,26031.4125435192,68039.3626394559,14912.5797911617,79158.1953918135
"Apr 17713",47037.0194943851,26025.7598429237,68048.2791458466,14903.0708544146,79170.9681343557
"May 17713",47036.5274566931,26018.0633033182,68054.991610068,14891.5604818725,79181.4944315137
"Jun 17713",47036.6758117764,26010.9862865185,68062.3653370344,14880.6585842414,79192.6930393115
"Jul 17713",47036.6310809944,26003.7257043814,68069.5364576074,14869.5781611361,79203.6840008527
"Aug 17713",47036.6445678451,25996.5236935256,68076.7654421646,14858.5564965224,79214.7326391678
"Sep 17713",47036.6405014029,25989.3072423538,68083.9737604519,14847.5220395032,79225.7589633025
"Oct 17713",47036.6417274825,25982.0983616576,68091.1850933073,14836.4963588354,79236.7870961296
"Nov 17713",47036.6413578052,25974.8904115349,68098.3923040756,14825.4729460995,79247.809769511
"Dec 17713",47036.6414692672,25967.6853907207,68105.5975478137,14814.4537586548,79258.8291798796
